codice_esterno,0,1,2,3,4,5,6,7,8,9,10,11,giorno_uscita,colore,cat_merc
09PR2NE-19,10.0,16.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-12,nero,capospalla  medio
09PR3NE-19,5.0,13.0,20.0,4.0,13.0,14.0,9.0,34.0,0.0,0.0,0.0,0.0,2019-10-09,nero,capospalla  medio
09TF106NE-18,1.0,1.0,1.0,0.0,1.0,2.0,1.0,7.0,13.0,2.0,0.0,0.0,2018-09-30,nero,capospalla  medio
09TF58GR-18,2.0,0.0,1.0,1.0,1.0,1.0,2.0,41.0,3.0,0.0,0.0,0.0,2018-10-01,grigio,capospalla  medio
09TF58NE-18,2.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,42.0,8.0,0.0,2018-09-21,nero,capospalla  medio
09TM0005NE-18,6.0,77.0,161.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-09,nero,capospalla  medio
09TM0005PL-18,1.0,101.0,147.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-09,perla,capospalla  medio
09TM0005RO-18,1.0,89.0,171.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-11,rosso,capospalla  medio
10066NE-17,1.0,1.0,5.0,4.0,4.0,10.0,9.0,5.0,2.0,1.0,1.0,5.0,2017-01-16,nero,manica lunga
10150BX-18,3.0,19.0,12.0,7.0,6.0,10.0,10.0,5.0,53.0,3.0,0.0,0.0,2018-09-25,bordeaux,tinta unita
10150NE-18,1.0,3.0,5.0,11.0,8.0,6.0,9.0,11.0,2.0,60.0,4.0,0.0,2018-09-23,nero,tinta unita
10150VI-18,3.0,4.0,5.0,7.0,7.0,3.0,7.0,2.0,51.0,2.0,0.0,0.0,2018-09-28,viola,tinta unita
10151NE-17,1.0,0.0,1.0,6.0,6.0,9.0,3.0,1.0,5.0,6.0,8.0,6.0,2017-01-14,nero,pantalone lungo
10152NE-17,3.0,2.0,2.0,5.0,6.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,2017-01-25,nero,mini
10153NE-17,1.0,3.0,0.0,0.0,2.0,1.0,1.0,17.0,19.0,18.0,7.0,8.0,2017-01-24,nero,tubino
10211FANE-18,6.0,6.0,6.0,5.0,3.0,5.0,9.0,10.0,7.0,4.0,5.0,1.0,2018-01-15,fantasia,smanicato
10329FANE-18,1.0,15.0,11.0,11.0,7.0,8.0,7.0,11.0,9.0,13.0,205.0,189.0,2018-06-02,fantasia,manica corta
1032BE-17,6.0,3.0,2.0,4.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,2017-01-12,beige,manica lunga
1032GR-17,3.0,3.0,2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2017-01-12,grigio,manica lunga
1038GI-17,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2016-12-08,giallo,manica lunga
1038GR-17,4.0,10.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0,2.0,0.0,2016-12-07,grigio,manica lunga
1038VM-17,3.0,4.0,6.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2016-12-08,verde militare,manica lunga
10411FA-17,1.0,11.0,26.0,18.0,10.0,14.0,11.0,4.0,11.0,14.0,2.0,2.0,2017-06-11,fantasia,lungo
10469FA-17,1.0,6.0,11.0,7.0,14.0,5.0,5.0,1.0,2.0,1.0,0.0,2.0,2017-06-09,fantasia,smanicato
10469FARS-17,8.0,7.0,16.0,9.0,9.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,2017-06-13,fantasia,smanicato
10485D593FANE-19,5.0,13.0,27.0,28.0,14.0,8.0,19.0,36.0,299.0,127.0,33.0,10.0,2019-06-06,fantasia,bambolina
10485FA-17,1.0,25.0,25.0,20.0,25.0,36.0,27.0,19.0,31.0,27.0,17.0,17.0,2017-06-08,fantasia,trapezio
10489NE-17,3.0,2.0,3.0,5.0,9.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,2017-08-22,nero,manica lunga
10491NE-18,2.0,5.0,5.0,133.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-02,nero,manica lunga
10492NE-18,9.0,9.0,11.0,131.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-01,nero,cardigan corto
10507NE-17,7.0,4.0,13.0,12.0,7.0,33.0,6.0,4.0,0.0,0.0,0.0,0.0,2017-10-09,nero,capospalla lungo
10510NE-17,2.0,2.0,3.0,4.0,4.0,2.0,7.0,1.0,29.0,8.0,1.0,0.0,2017-09-21,nero,capospalla lungo
10557NE-17,1.0,4.0,4.0,7.0,3.0,4.0,5.0,33.0,5.0,1.0,0.0,0.0,2017-09-26,nero,capospalla lungo
10566VENE-18,2.0,3.0,2.0,3.0,6.0,2.0,1.0,3.0,4.0,1.0,6.0,9.0,2018-08-29,nero,capospalla  medio
10572VENE-18,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,5.0,9.0,2018-08-28,nero,capospalla lungo
1065GR-17,1.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2017-01-25,grigio,manica lunga
10666VENE-18,1.0,1.0,0.0,3.0,2.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,2018-10-13,nero,capospalla lungo
1070BE-17,3.0,6.0,7.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-13,beige,manica lunga
1070GR-17,4.0,7.0,9.0,5.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2017-01-13,grigio,manica lunga
1071AV-17,2.0,18.0,12.0,12.0,14.0,5.0,10.0,7.0,2.0,4.0,4.0,0.0,2017-03-09,avion,manica lunga
1071BE-17,1.0,9.0,7.0,9.0,10.0,10.0,14.0,10.0,2.0,4.0,0.0,0.0,2017-03-12,beige,manica lunga
10740D1006FANE-19,34.0,55.0,35.0,54.0,46.0,53.0,256.0,0.0,0.0,0.0,0.0,0.0,2019-10-14,fantasia,bambolina
10740FA-17,6.0,15.0,40.0,36.0,49.0,43.0,66.0,53.0,49.0,78.0,21.0,0.0,2017-09-22,fantasia,bambolina
10740FANE-18,3.0,17.0,11.0,26.0,16.0,10.0,14.0,4.0,1.0,10.0,12.0,2.0,2017-12-02,fantasia,bambolina
10740RI77231VE-17,3.0,19.0,24.0,9.0,22.0,25.0,20.0,24.0,34.0,9.0,0.0,0.0,2017-09-30,verde,trapezio
10741FA-17,11.0,20.0,17.0,12.0,17.0,20.0,19.0,11.0,14.0,0.0,0.0,0.0,2017-09-25,fantasia,chemisier
10749BX-17,2.0,10.0,11.0,7.0,14.0,17.0,8.0,6.0,2.0,1.0,1.0,1.0,2017-08-21,bordeaux,tinta unita
10749FABL-17,8.0,11.0,14.0,10.0,11.0,17.0,11.0,5.0,3.0,4.0,1.0,0.0,2017-08-22,fantasia,fantasia
10749FANE-17,8.0,7.0,13.0,13.0,22.0,18.0,15.0,7.0,6.0,4.0,2.0,1.0,2017-08-21,fantasia,fantasia
10749FANE-18,1.0,9.0,25.0,19.0,12.0,9.0,19.0,13.0,12.0,7.0,8.0,2.0,2017-12-03,fantasia,fantasia
10749FANE-19,4.0,9.0,15.0,21.0,24.0,31.0,21.0,25.0,10.0,8.0,4.0,6.0,2019-02-09,fantasia,fantasia
10749FARS-17,5.0,14.0,14.0,13.0,23.0,23.0,6.0,5.0,5.0,1.0,3.0,3.0,2017-08-21,fantasia,fantasia
10749FARS-18,8.0,12.0,19.0,4.0,7.0,15.0,13.0,5.0,7.0,4.0,3.0,5.0,2017-12-04,fantasia,fantasia
10749FARS-19,3.0,12.0,6.0,5.0,6.0,10.0,7.0,12.0,3.0,11.0,1.0,5.0,2019-02-09,fantasia,fantasia
10749NE-17,4.0,12.0,9.0,10.0,12.0,14.0,6.0,7.0,2.0,0.0,2.0,0.0,2017-08-21,nero,tinta unita
10749V2FABE-18,1.0,2.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,2018-02-03,fantasia,fantasia
10749V2FANE-18,6.0,4.0,7.0,7.0,3.0,4.0,5.0,3.0,12.0,5.0,4.0,0.0,2018-01-23,fantasia,fantasia
10749V2FARS-18,5.0,3.0,6.0,2.0,4.0,4.0,7.0,9.0,4.0,5.0,4.0,1.0,2018-01-22,fantasia,fantasia
10749V3FANE-18,7.0,11.0,1.0,6.0,5.0,9.0,6.0,4.0,2.0,3.0,0.0,3.0,2018-02-14,fantasia,fantasia
10749V3FAVE-18,2.0,4.0,2.0,2.0,8.0,7.0,8.0,5.0,5.0,1.0,0.0,2.0,2018-02-15,fantasia,fantasia
10749V4FANE-18,5.0,7.0,13.0,10.0,14.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2018-03-28,fantasia,fantasia
10749V4FARS-18,1.0,7.0,3.0,3.0,2.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,2018-03-30,fantasia,fantasia
10749V555FABI-19,1.0,1.0,4.0,6.0,3.0,7.0,5.0,3.0,2.0,2.0,0.0,0.0,2019-08-03,fantasia,fantasia
10749V555FANE-19,1.0,2.0,7.0,12.0,10.0,9.0,11.0,6.0,4.0,0.0,1.0,0.0,2019-08-02,fantasia,fantasia
10749V559FBLFABI-19,4.0,29.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-10,fantasia,fantasia
10749V559FGIFABI-19,2.0,17.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-12,fantasia,fantasia
10749V5FABI-18,2.0,9.0,11.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-24,fantasia,fantasia
10749V5FAFX-18,10.0,4.0,7.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-24,fantasia,fantasia
10749V5FANE-18,4.0,11.0,10.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-26,fantasia,fantasia
10755D594FA-19,4.0,16.0,27.0,26.0,12.0,11.0,18.0,18.0,199.0,151.0,87.0,61.0,2019-06-06,fantasia,pantalone lungo
10755FA-17,3.0,4.0,1.0,7.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,2017-09-25,fantasia,pantalone lungo
10769VE-17,1.0,7.0,2.0,6.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2017-09-28,verde,smanicato
1076BI-17,2.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-04-07,bianco,manica lunga
1079BE-17,1.0,4.0,5.0,8.0,7.0,4.0,1.0,6.0,7.0,1.0,0.0,0.0,2017-03-19,beige,manica corta
10811FA-17,1.0,3.0,7.0,4.0,4.0,37.0,42.0,18.0,25.0,11.0,60.0,7.0,2017-09-16,fantasia,smanicato
10811FABL-18,1.0,4.0,2.0,3.0,6.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,2018-02-11,fantasia,smanicato
10811FANE-18,2.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2018-02-12,fantasia,smanicato
10811FAVE-18,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2018-02-13,fantasia,smanicato
10816FA-17,1.0,1.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,0.0,62.0,4.0,2017-09-17,fantasia,pantalone lungo
10817FA-17,1.0,11.0,12.0,16.0,14.0,17.0,9.0,9.0,9.0,4.0,6.0,0.0,2017-09-16,fantasia,chemisier
10849FX-18,1.0,2.0,7.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2018-04-14,fuxia,manica lunga
10857NE-17,4.0,1.0,3.0,40.0,34.0,27.0,23.0,31.0,6.0,0.0,0.0,0.0,2017-10-02,nero,smanicato
10858NE-17,8.0,4.0,3.0,6.0,4.0,3.0,3.0,2.0,10.0,1.0,0.0,0.0,2017-09-27,nero,trapezio
1089BE-17,5.0,5.0,3.0,5.0,7.0,7.0,1.0,3.0,3.0,2.0,5.0,1.0,2017-02-28,beige,manica lunga
10938FX-18,4.0,8.0,9.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2018-04-18,fuxia,pantalone lungo
10956237FANE-19,4.0,5.0,2.0,17.0,17.0,12.0,9.0,5.0,1.0,1.0,4.0,1.0,2019-01-14,fantasia,manica lunga
10956AIFANE-18,2.0,11.0,26.0,18.0,7.0,4.0,5.0,55.0,7.0,0.0,0.0,0.0,2018-10-05,fantasia,manica lunga
10956FANE-18,4.0,6.0,9.0,9.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,6.0,2017-12-05,fantasia,manica lunga
109BI-18,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-21,bianco,storta
11015FA-18,13.0,9.0,13.0,84.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-31,fantasia,pantalone lungo
11015NE-19,1.0,5.0,2.0,4.0,10.0,7.0,7.0,8.0,3.0,5.0,7.0,2.0,2019-01-13,nero,pantalone lungo
110AIFANE-18,2.0,13.0,14.0,10.0,6.0,12.0,11.0,8.0,0.0,2.0,4.0,1.0,2018-09-01,fantasia,smanicato
110FANE-18,1.0,2.0,8.0,13.0,3.0,8.0,9.0,4.0,7.0,3.0,1.0,2.0,2018-03-11,fantasia,smanicato
110VEFA-17,5.0,8.0,9.0,4.0,11.0,6.0,9.0,5.0,10.0,3.0,0.0,0.0,2017-09-26,fantasia,smanicato
11205FANE-18,1.0,23.0,21.0,15.0,42.0,54.0,43.0,25.0,42.0,40.0,28.0,26.0,2018-01-14,fantasia,trapezio
11205RO-18,3.0,2.0,5.0,5.0,7.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,2018-02-23,rosso,bambolina
11205STFABL-18,2.0,11.0,10.0,9.0,16.0,15.0,19.0,11.0,12.0,5.0,8.0,4.0,2018-02-18,fantasia,bambolina
11205STFANE-18,1.0,17.0,12.0,26.0,20.0,14.0,19.0,16.0,10.0,3.0,5.0,2.0,2018-02-17,fantasia,bambolina
11206FANE-18,1.0,5.0,2.0,2.0,4.0,2.0,6.0,3.0,4.0,6.0,1.0,4.0,2018-01-14,fantasia,lungo
11239FABE-18,1.0,2.0,4.0,1.0,2.0,4.0,5.0,2.0,5.0,2.0,1.0,1.0,2018-01-27,fantasia,fantasia
11239FANE-18,1.0,10.0,6.0,7.0,6.0,4.0,4.0,5.0,4.0,7.0,4.0,2.0,2018-01-21,fantasia,fantasia
11239FARS-18,1.0,9.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2018-02-03,fantasia,fantasia
11307FA-19,3.0,3.0,0.0,1.0,3.0,1.0,1.0,10.0,3.0,1.0,0.0,0.0,2019-01-09,fantasia,manica lunga
1130PBE-18,1.0,5.0,9.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2018-04-21,beige,storta
1130PRS-18,1.0,7.0,6.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2018-04-21,rosa,storta
11318FANE-18,1.0,1.0,6.0,6.0,5.0,3.0,3.0,7.0,2.0,0.0,0.0,0.0,2018-03-22,fantasia,bambolina
11318FARS-18,1.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2018-03-25,fantasia,bambolina
11319NE-19,9.0,14.0,6.0,9.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-23,nero,bambolina
11319OT-19,13.0,12.0,9.0,8.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-21,ottanio,bambolina
11319RO-19,10.0,9.0,13.0,11.0,9.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-23,rosso,bambolina
11362FANE-18,4.0,17.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-11,fantasia,lungo
11364FANE-18,3.0,6.0,25.0,19.0,17.0,22.0,27.0,28.0,22.0,27.0,7.0,2.0,2018-03-10,fantasia,bambolina
11364NE-18,1.0,4.0,7.0,8.0,6.0,10.0,9.0,5.0,5.0,4.0,7.0,4.0,2018-03-10,nero,bambolina
11395423FA-19,5.0,19.0,14.0,18.0,11.0,13.0,8.0,6.0,5.0,0.0,0.0,0.0,2019-03-24,fantasia,pantalone lungo
11455FANE-18,1.0,9.0,9.0,6.0,7.0,20.0,4.0,23.0,6.0,0.0,0.0,0.0,2018-10-06,fantasia,lungo
11458FANE-18,1.0,3.0,9.0,6.0,3.0,6.0,1.0,6.0,3.0,1.0,0.0,0.0,2018-03-31,fantasia,smanicato
11458FARS-18,3.0,8.0,4.0,7.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2018-04-02,fantasia,smanicato
11460FABE-18,1.0,11.0,13.0,8.0,10.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,2018-04-15,fantasia,manica corta
11461FABE-18,9.0,18.0,7.0,13.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-04-17,fantasia,bambolina
11493AIFA-18,13.0,22.0,13.0,8.0,13.0,14.0,18.0,16.0,13.0,5.0,0.0,4.0,2018-06-25,fantasia,lungo
11493D594FA-19,4.0,21.0,23.0,15.0,15.0,10.0,14.0,20.0,247.0,156.0,87.0,43.0,2019-06-08,fantasia,lungo
11493FANE-18,3.0,47.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-10,fantasia,lungo
11494FIOREFANE-18,2.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-12,fantasia,smanicato
11494RIGAFANE-18,1.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-12,fantasia,smanicato
11495FANE-18,2.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-13,fantasia,bambolina
11495STFABI-18,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-27,fantasia,bambolina
11495STFANE-18,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-27,fantasia,bambolina
11497FABI-18,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-30,fantasia,fantasia
11497FAFX-18,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-04,fantasia,fantasia
11497FANE-18,4.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-27,fantasia,fantasia
114PJJE-19,1.0,6.0,7.0,14.0,7.0,13.0,12.0,6.0,2.0,4.0,2.0,2.0,2019-09-08,jeans,pantalone lungo
11503STFABI-18,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-05,fantasia,smanicato
11503STFANE-18,1.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-29,fantasia,smanicato
1151LRS-18,1.0,12.0,14.0,12.0,4.0,6.0,4.0,5.0,8.0,4.0,2.0,2.0,2018-03-03,rosa,tinta unita
11552FANE-18,15.0,16.0,15.0,16.0,10.0,14.0,13.0,5.0,5.0,8.0,5.0,23.0,2018-09-03,fantasia,pantalone lungo
11564FANE-18,3.0,29.0,20.0,22.0,26.0,13.0,11.0,25.0,17.0,8.0,327.0,104.0,2018-06-02,fantasia,lungo
11565FANE-18,1.0,4.0,7.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,66.0,20.0,2018-06-03,fantasia,maxi
11569FANE-18,1.0,31.0,16.0,16.0,12.0,9.0,15.0,18.0,11.0,9.0,236.0,113.0,2018-06-03,fantasia,tuta
11569V471FANE-19,3.0,20.0,15.0,12.0,11.0,11.0,15.0,13.0,3.0,1.0,0.0,0.0,2019-07-27,fantasia,tuta
11569V576FANE-19,5.0,11.0,7.0,20.0,22.0,9.0,7.0,2.0,48.0,49.0,29.0,15.0,2019-06-14,fantasia,tuta
11601FANE-18,6.0,2.0,1.0,6.0,4.0,2.0,3.0,3.0,1.0,39.0,30.0,19.0,2018-06-04,fantasia,smanicato
11661FANE-18,3.0,16.0,25.0,20.0,23.0,17.0,22.0,29.0,12.0,6.0,3.0,1.0,2018-06-21,fantasia,lungo
11662FANE-18,2.0,11.0,20.0,13.0,13.0,15.0,12.0,13.0,8.0,7.0,2.0,5.0,2018-06-22,fantasia,tuta
11663FANE-18,7.0,21.0,10.0,21.0,31.0,16.0,24.0,10.0,6.0,3.0,1.0,0.0,2018-06-25,fantasia,bambolina
11664FA-18,8.0,6.0,6.0,1.0,3.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,2018-06-26,fantasia,pantalone lungo
11665FA-18,1.0,5.0,4.0,5.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,2018-06-24,fantasia,gitana
11666FANE-18,1.0,6.0,5.0,13.0,10.0,2.0,2.0,2.0,0.0,5.0,0.0,4.0,2018-06-23,fantasia,manica corta
116BFA-18,3.0,4.0,2.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2018-08-28,fantasia,manica lunga
116CFA-18,12.0,4.0,20.0,74.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-30,fantasia,manica lunga
1178LAV-17,1.0,11.0,11.0,22.0,21.0,15.0,14.0,16.0,11.0,8.0,7.0,1.0,2017-03-04,avion,manica lunga
1178LBI-17,9.0,14.0,13.0,12.0,5.0,6.0,7.0,13.0,4.0,3.0,1.0,1.0,2017-03-08,bianco,manica lunga
1178LGR-17,1.0,10.0,7.0,14.0,12.0,9.0,6.0,7.0,6.0,9.0,2.0,0.0,2017-03-04,grigio,manica lunga
11806FANE-18,2.0,13.0,4.0,8.0,9.0,5.0,13.0,9.0,9.0,2.0,25.0,2.0,2018-09-01,fantasia,lungo
118212V1FA-18,8.0,12.0,6.0,9.0,4.0,2.0,4.0,6.0,2.0,6.0,73.0,76.0,2018-06-02,fantasia,fantasia
118212V2FA-18,5.0,11.0,7.0,8.0,9.0,3.0,6.0,4.0,1.0,4.0,90.0,91.0,2018-06-02,fantasia,fantasia
118285DBE-18,4.0,5.0,3.0,6.0,3.0,2.0,6.0,11.0,2.0,1.0,1.0,2.0,2018-07-17,beige,tinta unita
118297AAV-18,8.0,6.0,10.0,5.0,2.0,4.0,1.0,5.0,72.0,79.0,48.0,27.0,2018-06-11,avion,tinta unita
118297AVM-18,1.0,7.0,6.0,10.0,7.0,4.0,6.0,1.0,2.0,65.0,60.0,55.0,2018-06-07,verde militare,tinta unita
118331BFANE-18,4.0,6.0,4.0,4.0,2.0,4.0,4.0,7.0,3.0,3.0,1.0,0.0,2018-06-06,fantasia,smanicato
11877290FANE-19,4.0,37.0,16.0,9.0,3.0,5.0,1.0,10.0,8.0,5.0,6.0,5.0,2018-12-15,fantasia,bambolina
11877422FANE-19,1.0,27.0,17.0,21.0,18.0,25.0,9.0,8.0,4.0,3.0,1.0,0.0,2019-03-23,fantasia,bambolina
11877AIFANE-18,2.0,21.0,18.0,11.0,7.0,74.0,10.0,79.0,5.0,0.0,0.0,0.0,2018-10-06,fantasia,bambolina
11877FANE-18,3.0,28.0,44.0,29.0,30.0,37.0,57.0,67.0,37.0,34.0,223.0,36.0,2018-08-30,fantasia,bambolina
11895FABX-18,3.0,3.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2018-08-17,fantasia,pantalone lungo
11896FABX-18,4.0,13.0,6.0,5.0,5.0,6.0,3.0,2.0,0.0,1.0,1.0,0.0,2018-08-14,fantasia,bambolina
11928FA-18,8.0,6.0,5.0,3.0,2.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,2018-10-10,fantasia,pantalone lungo
11942FA-18,2.0,12.0,14.0,10.0,12.0,7.0,10.0,50.0,3.0,0.0,0.0,0.0,2018-10-06,fantasia,manica lunga
11955FANE-18,1.0,2.0,1.0,1.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,2018-10-13,fantasia,pantalone lungo
11992FA-18,1.0,7.0,23.0,13.0,7.0,53.0,13.0,0.0,0.0,0.0,0.0,0.0,2018-10-20,fantasia,pantalone lungo
11993FA-18,12.0,13.0,12.0,5.0,77.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-23,fantasia,smanicato
11NE-17,1.0,0.0,3.0,1.0,26.0,23.0,11.0,2.0,0.0,0.0,0.0,0.0,2017-10-12,nero,capospalla lungo
1200LBI-17,5.0,1.0,3.0,0.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,2017-03-29,bianco,manica lunga
